Comment,Designator,Footprint,LCSC
30K,R6,0603-NO,C100001
SPDT_RA,SW1,SPDT_SMT_SSSS811101,C109335
MICROSD,X1,MICROSD,C125617
0.1uF,"C12,C13,C22,C32,C35,C37,C41,C43,C6,C7",0603-NO,C14663
DMP3098L-7,"T2,TR1",SOT-23,C150492
NCP1117ST50T3G,U1,SOT223-R,C156196
RESET_SUPERVISORAPX80X_SA,IC4,SOT23-WIDE,C156335
IMX_RT1010,IC2,QFP50P1400X1400X160-80N,C1575810
1uF,"C29,C30,C36,C42,C44,C54",0603-NO,C15849
10uF,"C18,C19,C2,C20,C21,C3,C31,C39,C40,C45,C46,C47,C48,C5,C51,C55",0805-NO,C15850
USB C,X4,USB_C_CUSB31-CFM2AX-01-X,C165948
0.22uF,"C33,C38,C49,C50,C52,C53,C56,C57,C58",0603-NO,C21120
4.7uH,L2,INDUCTOR_1007,C223195
RED,L0,CHIPLED_0603_NOOUTLINE,C2286
2.2M,R4,0603-NO,C22938
5.1K,"R11,R14,R17,R2,R3,R8",0603-NO,C23186
24MHz 10pF,Y1,CRYSTAL_2.5X2,C255953
100K,"R1,R16",0603-NO,C25803
10K,"R10,R12,R13,R5,R7",0603-NO,C25804
6x6mm,RESET0,6MMX6MM_TACTILE_SMT,C2686883
FUSE,F2,R1206,C269104
STEMMA_I2C_QT,CONN1,JST_SH4,C2845363
22uF,C34,0805-NO,C29277
2.1mm,X5,DCJACK_2MM_PTH,C381116
DIP2,SW2,DIPSWITCH_2PIN,C489174
16pF,"C25,C26",0603-NO,C527060
Conn_ARM_JTAG_SWD_10,J2,PinHeader_2x10_P1.27mm_Vertical_SMD,C59981
MBR120,D1,SOD-123,C668956
GREEN,ON0,CHIPLED_0603_NOOUTLINE,C72043
W25Q64JV,U3,SOIC8_208MIL,C83140
LP2985-XXDBVR,U2,SOT23-DBV,C841192
47uF/25V,"PC1,PC2",PANASONIC_D,C97807
