Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,0805-NO,149.8981,-115.7986,0.0,top
C3,10uF,0805-NO,149.8981,-113.8936,0.0,top
C5,10uF,0805-NO,127.4191,-91.6686,90.0,top
C6,0.1uF,0603-NO,153.7453,-113.791035,180.0,top
C7,0.1uF,0603-NO,129.0701,-91.6686,-90.0,top
C12,0.1uF,0603-NO,138.1887,-122.1232,-90.0,top
C13,0.1uF,0603-NO,140.7541,-86.9696,0.0,top
C18,10uF,0805-NO,128.0541,-121.5136,0.0,top
C19,10uF,0805-NO,128.0541,-123.4186,0.0,top
C20,10uF,0805-NO,128.0541,-125.3236,0.0,top
C21,10uF,0805-NO,142.9131,-97.8916,-90.0,top
C22,0.1uF,0603-NO,145.3261,-100.1776,180.0,top
C25,16pF,0603-NO,143.8656,-103.9876,180.0,top
C26,16pF,0603-NO,144.3101,-108.7501,0.0,top
C29,1uF,0603-NO,145.3261,-98.6536,180.0,top
C30,1uF,0603-NO,151.1681,-88.7476,180.0,top
C31,10uF,0805-NO,154.3431,-88.6841,0.0,top
C32,0.1uF,0603-NO,151.4221,-91.7956,180.0,top
C33,0.22uF,0603-NO,151.4221,-90.2716,180.0,top
C34,22uF,0805-NO,159.6771,-111.0996,-90.0,top
C35,0.1uF,0603-NO,164.6301,-99.4156,90.0,top
C36,1uF,0603-NO,145.1991,-91.9226,90.0,top
C37,0.1uF,0603-NO,158.9151,-91.4146,0.0,top
C38,0.22uF,0603-NO,147.8661,-88.4936,0.0,top
C39,10uF,0805-NO,167.1701,-96.4946,0.0,top
C40,10uF,0805-NO,147.8661,-90.1446,0.0,top
C41,0.1uF,0603-NO,164.5031,-105.5116,-90.0,top
C42,1uF,0603-NO,167.1701,-94.8436,0.0,top
C43,0.1uF,0603-NO,157.9626,-111.2266,-90.0,top
C44,1uF,0603-NO,155.6131,-110.8456,-90.0,top
C45,10uF,0805-NO,159.1691,-89.6366,0.0,top
C46,10uF,0805-NO,166.2811,-99.2886,90.0,top
C47,10uF,0805-NO,166.1541,-105.7656,-90.0,top
C48,10uF,0805-NO,143.9291,-102.4636,180.0,top
C49,0.22uF,0603-NO,146.4691,-103.1621,90.0,top
C50,0.22uF,0603-NO,149.5806,-109.0041,0.0,top
C51,10uF,0805-NO,149.7711,-110.7186,0.0,top
C52,0.22uF,0603-NO,145.3261,-97.1296,180.0,top
C53,0.22uF,0603-NO,153.7081,-110.9726,-90.0,top
C54,1uF,0603-NO,152.1841,-110.9726,-90.0,top
C55,10uF,0805-NO,146.9136,-109.3216,-90.0,top
C56,0.22uF,0603-NO,147.4851,-106.5911,0.0,top
C57,0.22uF,0603-NO,145.3261,-95.6056,180.0,top
C58,0.22uF,0603-NO,155.2321,-91.0971,90.0,top
CONN1,STEMMA_I2C_QT,JST_SH4,179.7496,-116.4336,90.0,top
D1,MBR120,SOD-123,132.6261,-123.952,180.0,top
F2,FUSE,R1206,124.0155,-90.9066,0.0,top
IC2,IMX_RT1010,QFP50P1400X1400X160-80N,155.9941,-100.5586,180.0,top
IC4,RESET_SUPERVISORAPX80X_SA,SOT23-WIDE,142.2781,-92.9386,180.0,top
J2,Conn_ARM_JTAG_SWD_10,PinHeader_2x10_P1.27mm_Vertical_SMD,167.595,-119.38,90.0,top
L0,RED,CHIPLED_0603_NOOUTLINE,115.8367,-86.106,0.0,top
L2,4.7uH,INDUCTOR_1007,147.9931,-92.3036,180.0,top
ON0,GREEN,CHIPLED_0603_NOOUTLINE,115.8875,-87.7062,0.0,top
PC1,47uF/25V,PANASONIC_D,143.7005,-120.6246,90.0,top
PC2,47uF/25V,PANASONIC_D,158.3563,-120.9802,90.0,top
R1,100K,0603-NO,145.1991,-115.4176,-90.0,top
R2,5.1K,0603-NO,121.9581,-87.7316,180.0,top
R3,5.1K,0603-NO,123.1011,-95.4786,180.0,top
R4,2.2M,0603-NO,144.3101,-110.4011,180.0,top
R5,10K,0603-NO,167.9956,-99.3394,-90.0,top
R6,30K,0603-NO,153.7081,-91.0971,-90.0,top
R7,10K,0603-NO,131.2291,-121.5136,-90.0,top
R8,5.1K,0603-NO,123.2281,-92.6846,180.0,top
R10,10K,0603-NO,141.5161,-89.3826,-90.0,top
R11,5.1K,0603-NO,121.9581,-86.2076,180.0,top
R12,10K,0603-NO,127.9271,-119.7356,0.0,top
R13,10K,0603-NO,139.9921,-89.3826,-90.0,top
R14,5.1K,0603-NO,169.4561,-87.3506,0.0,top
R16,100K,0603-NO,146.7231,-115.4176,90.0,top
R17,5.1K,0603-NO,172.5041,-87.3506,180.0,top
RESET0,6x6mm,6MMX6MM_TACTILE_SMT,120.4341,-82.2706,180.0,top
SW1,SPDT_RA,SPDT_SMT_SSSS811101,136.1567,-129.0296,0.0,top
SW2,DIP2,DIPSWITCH_2PIN,172.3771,-90.9066,-90.0,top
T2,DMP3098L-7,SOT-23,133.8961,-121.3612,180.0,top
TR1,DMP3098L-7,SOT-23,142.814675,-113.566575,0.0,top
U1,NCP1117ST50T3G,SOT223-R,151.0157,-120.6246,180.0,top
U2,LP2985-XXDBVR,SOT23-DBV,154.5971,-116.5606,0.0,top
U3,W25Q64JV,SOIC8_208MIL,171.739206,-103.037993,180.0,top
X1,MICROSD,MICROSD,121.1491,-109.0826,0.0,top
X4,USB C,USB_C_CUSB31-CFM2AX-01-X,117.1347,-93.5706,-90.0,top
X5,2.1mm,DCJACK_2MM_PTH,118.2743,-124.6708,0.0,top
Y1,24MHz 10pF,CRYSTAL_2.5X2,144.0561,-106.4641,180.0,top
